Hour,Temperature
0.25,20
0.5,19
0.75,18
1,17
1.25,16
1.5,15
1.75,16
2,17
2.25,18
2.5,20
2.75,22
3,24
3.25,26
3.5,27
3.75,28
4,29
4.25,28
4.5,27
4.75,25
5,23
5.25,22
5.5,21
5.75,20
6,19
6.25,18
6.5,17
6.75,16
7,15
7.25,16
7.5,17
7.75,18
8,20
8.25,22
8.5,24
8.75,26
9,27
9.25,28
9.5,29
9.75,30
10,29
10.25,28
10.5,27
10.75,26
11,25
11.25,23
11.5,22
11.75,21
12,20
12.25,19
12.5,18
12.75,17
13,16
13.25,17
13.5,18
13.75,20
14,22
14.25,24
14.5,26
14.75,27
15,28
15.25,29
15.5,30
15.75,29
16,28
16.25,27
16.5,25
16.75,23
17,22
17.25,21
17.5,20
17.75,19
18,18
18.25,17
18.5,16
18.75,15
19,16
19.25,17
19.5,18
19.75,20
20,22
20.25,24
20.5,26
20.75,27
21,28
21.25,29
21.5,30
21.75,29
22,28
22.25,27
22.5,25
22.75,23
23,22
23.25,21
23.5,20
23.75,19
